                                                                                    	run-1 vs run-2	
T1w/subject_name/touch/rh.inflate2.touch                                            	      0       	
T1w/subject_name/surf/rh.smoothwm.FI.crv                                            	      0       	
T1w/subject_name/surf/rh.smoothwm.K.crv                                             	      0       	
T1w/subject_name/surf/rh.smoothwm.K2.crv                                            	      0       	
T1w/subject_name/surf/rh.smoothwm.C.crv                                             	      0       	
T1w/subject_name/stats/rh.curv.stats                                                	      0       	
T1w/subject_name/surf/rh.smoothwm.H.crv                                             	      0       	
T1w/subject_name/surf/rh.smoothwm.K1.crv                                            	      0       	
T1w/subject_name/touch/rh.curvstats.touch                                           	      0       	
T1w/subject_name/surf/rh.smoothwm.BE.crv                                            	      0       	
T1w/subject_name/surf/rh.smoothwm.S.crv                                             	      0       	
T1w/subject_name/touch/rh.sphmorph.touch                                            	      0       	
T1w/subject_name/surf/rh.sphere                                                     	      4       	
T1w/subject_name/touch/rh.sphreg.touch                                              	      0       	
T1w/subject_name/surf/rh.sphere.reg                                                 	      4       	
T1w/subject_name/surf/rh.jacobian_white                                             	      0       	
T1w/subject_name/touch/rh.jacobian_white.touch                                      	      0       	
T1w/subject_name/surf/rh.avg_curv                                                   	      0       	
T1w/subject_name/touch/rh.avgcurv.touch                                             	      0       	
T1w/subject_name/label/rh.aparc.annot                                               	      0       	
T1w/subject_name/touch/rh.aparc.touch                                               	      0       	
T1w/subject_name/mri/wm.hires.nii.gz                                                	      0       	
T1w/subject_name/mri/T1w_hires.norm.nii.gz                                          	      0       	
T1w/subject_name/mri/T1w_hires.norm.mgz                                             	      4       	
T1w/subject_name/mri/T2w_hires.norm.nii.gz                                          	      0       	
T1w/subject_name/mri/T2w_hires.norm.mgz                                             	      4       	
T1w/subject_name/surf/lh.pial.preT2.pass1                                           	      4       	
T1w/subject_name/surf/lh.thickness.preT2.pass1                                      	      0       	
T1w/subject_name/surf/rh.pial.preT2.pass1                                           	      4       	
T1w/subject_name/surf/rh.thickness.preT2.pass1                                      	      0       	
T1w/subject_name/surf/lh.pial.postT2.pass1                                          	      4       	
T1w/subject_name/surf/lh.area.pial.postT2.pass1                                     	      0       	
T1w/subject_name/surf/lh.curv.pial.postT2.pass1                                     	      0       	
T1w/subject_name/surf/lh.thickness.postT2.pass1                                     	      0       	
T1w/subject_name/surf/rh.pial.postT2.pass1                                          	      4       	
T1w/subject_name/surf/rh.area.pial.postT2.pass1                                     	      0       	
T1w/subject_name/surf/rh.curv.pial.postT2.pass1                                     	      0       	
T1w/subject_name/surf/rh.thickness.postT2.pass1                                     	      0       	
T1w/subject_name/surf/lh.pial.postT2.pass1.conformed                                	      4       	
T1w/subject_name/surf/rh.pial.postT2.pass1.conformed                                	      4       	
T1w/subject_name/mri/c_ras.mat                                                      	      0       	
T1w/subject_name/surf/lh.white.surf.gii                                             	      4       	
T1w/subject_name/surf/lh.white.nii.gz                                               	      4       	
T1w/subject_name/surf/rh.white.surf.gii                                             	      4       	
T1w/subject_name/surf/rh.white.nii.gz                                               	      4       	
T1w/subject_name/mri/ribbon.postT2.pass1/lh.ribbon.nii.gz                           	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/rh.ribbon.nii.gz                           	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/ribbon.nii.gz                              	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/ribbon_s5.nii.gz                           	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/T1w_hires.norm_ribbon.nii.gz               	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/ribbon_inv.nii.gz                          	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/T1w_hires.norm_ribbon_myelin.nii.gz        	      0       	
T1w/subject_name/mri/white.nii.gz                                                   	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/dilribbon_inv.nii.gz                       	      0       	
T1w/subject_name/mri/T1w_hires.norm_grey_myelin.nii.gz                              	      0       	
T1w/subject_name/mri/ribbon.postT2.pass1/T1w_hires.greynorm_ribbon.nii.gz           	      0       	
T1w/subject_name/mri/T1w_hires.greynorm.nii.gz                                      	      0       	
T1w/subject_name/mri/T1w_hires.greynorm.mgz                                         	      4       	
T1w/subject_name/surf/lh.pial.preT2.pass2                                           	      4       	
T1w/subject_name/surf/lh.thickness.preT2.pass2                                      	      0       	
T1w/subject_name/surf/rh.pial.preT2.pass2                                           	      4       	
T1w/subject_name/surf/rh.thickness.preT2.pass2                                      	      0       	
T1w/subject_name/surf/lh.pial.postT2.pass2                                          	      4       	
T1w/subject_name/surf/lh.area.pial.postT2.pass2                                     	      0       	
T1w/subject_name/surf/lh.area.pial                                                  	      0       	
T1w/subject_name/surf/lh.curv.pial                                                  	      0       	
T1w/subject_name/surf/lh.curv.pial.postT2.pass2                                     	      0       	
T1w/subject_name/surf/lh.thickness                                                  	      0       	
T1w/subject_name/surf/lh.thickness.postT2.pass2                                     	      0       	
T1w/subject_name/surf/rh.pial.postT2.pass2                                          	      4       	
T1w/subject_name/surf/rh.area.pial.postT2.pass2                                     	      0       	
T1w/subject_name/surf/rh.curv.pial                                                  	      0       	
T1w/subject_name/surf/rh.curv.pial.postT2.pass2                                     	      0       	
T1w/subject_name/surf/rh.area.pial                                                  	      0       	
T1w/subject_name/surf/rh.thickness                                                  	      0       	
T1w/subject_name/surf/rh.thickness.postT2.pass2                                     	      0       	
T1w/subject_name/surf/lh.pial                                                       	      4       	
T1w/subject_name/scripts/recon-all.env                                              	      4       	
T1w/subject_name/surf/rh.pial                                                       	      4       	
T1w/subject_name/surf/lh.volume                                                     	      0       	
T1w/subject_name/scripts/recon-all.local-copy                                       	      0       	
T1w/subject_name/surf/lh.area.mid                                                   	      0       	
T1w/subject_name/touch/lh.surfvolume.touch                                          	      0       	
T1w/subject_name/touch/lh.aparcstats.touch                                          	      0       	
T1w/subject_name/stats/lh.aparc.stats                                               	      4       	
T1w/subject_name/label/lh.aparc.a2009s.annot                                        	      0       	
T1w/subject_name/stats/lh.aparc.a2009s.stats                                        	      4       	
T1w/subject_name/touch/lh.aparcstats2.touch                                         	      0       	
T1w/subject_name/touch/lh.aparc2.touch                                              	      0       	
T1w/subject_name/label/lh.aparc.DKTatlas40.annot                                    	      0       	
T1w/subject_name/stats/lh.aparc.DKTatlas40.stats                                    	      4       	
T1w/subject_name/touch/rh.surfvolume.touch                                          	      0       	
T1w/subject_name/surf/rh.volume                                                     	      0       	
T1w/subject_name/surf/rh.area.mid                                                   	      0       	
T1w/subject_name/touch/lh.aparcstats3.touch                                         	      0       	
T1w/subject_name/label/aparc.annot.ctab                                             	      0       	
T1w/subject_name/stats/rh.aparc.stats                                               	      4       	
T1w/subject_name/touch/rh.aparcstats.touch                                          	      0       	
T1w/subject_name/label/rh.aparc.a2009s.annot                                        	      0       	
T1w/subject_name/label/aparc.annot.a2009s.ctab                                      	      0       	
T1w/subject_name/stats/rh.aparc.a2009s.stats                                        	      4       	
T1w/subject_name/touch/rh.aparcstats2.touch                                         	      0       	
T1w/subject_name/label/rh.aparc.DKTatlas40.annot                                    	      0       	
T1w/subject_name/touch/rh.aparc2.touch                                              	      0       	
T1w/subject_name/label/aparc.annot.DKTatlas40.ctab                                  	      0       	
T1w/subject_name/touch/rh.aparcstats3.touch                                         	      0       	
T1w/subject_name/stats/rh.aparc.DKTatlas40.stats                                    	      4       	
T1w/subject_name/mri/ribbon.mgz                                                     	      4       	
